"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","Date"
"584","Virgin Islands","US","2021-01-10 05:30:28","18.3358","-64.8963","2143","24","1984.0","135.0","78.0","1997.7999030465746","37469.0","","1.1199253383107792","850.0","VIR","34930.26811351009","","01-09-2021"
"585","Virginia","US","2021-01-10 05:30:28","37.7693","-78.17","393715","5381","32833.0","355501.0","51.0","4612.666201082793","4537960.0","","1.3667246612397292","84000051.0","USA","53165.601295012064","","01-09-2021"
"586","Washington","US","2021-01-10 05:30:28","47.4009","-121.4905","271595","3698","","267897.0","53.0","3566.6292356307567","4009784.0","","1.3615861853126898","84000053.0","USA","52657.12860312023","","01-09-2021"
"587","West Virginia","US","2021-01-10 05:30:28","38.4912","-80.9545","99778","1570","69228.0","28980.0","54.0","5567.5120400279675","1649119.0","","1.573493154803664","84000054.0","USA","92019.18146223496","","01-09-2021"
"588","Wisconsin","US","2021-01-10 05:30:28","44.2685","-89.6165","548134","5567","470385.0","72182.0","55.0","9414.172835621666","5585041.0","","1.0156275655222993","84000055.0","USA","95922.78761768703","","01-09-2021"
"589","Wyoming","US","2021-01-10 05:30:28","42.756","-107.3025","46719","489","44490.0","1740.0","56.0","8072.271878277486","528137.0","","1.0466833622294998","84000056.0","USA","91253.35415950336","","01-09-2021"
"590","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","Total_Test_Results","People_Hospitalized","Case_Fatality_Ratio","UID","ISO3","Testing_Rate","Hospitalization_Rate","01-10-2021"
"591","Alabama","US","2021-01-11 05:30:40","32.3182","-86.9023","401900","5334","211684.0","184882.0","1.0","8196.71295290714","1966656.0","","1.3271958198556857","84000001.0","USA","40109.7653871922","","01-10-2021"
"592","Alaska","US","2021-01-11 05:30:40","61.3707","-152.4044","50218","224","7165.0","42829.0","2.0","6864.649474741814","1352480.0","","0.4460551993309172","84000002.0","USA","184879.9458679917","","01-10-2021"
"593","American Samoa","US","2021-01-11 05:30:40","-14.271","-170.132","0","0","","0.0","60.0","0.0","2140.0","","","16.0","ASM","3846.084721698028","","01-10-2021"
"594","Arizona","US","2021-01-11 05:30:40","33.7298","-111.4312","618546","10141","85004.0","523401.0","4.0","8498.008646304012","3075262.0","","1.639490029844183","84000004.0","USA","42250.0558821012","","01-10-2021"
"595","Arkansas","US","2021-01-11 05:30:40","34.9697","-92.3731","255076","4043","219887.0","31146.0","5.0","8452.371326964905","2158016.0","","1.5850177986168827","84000005.0","USA","71509.48172909838","","01-10-2021"
"596","California","US","2021-01-11 09:30:28","36.1162","-119.6816","2744008","30004","","2687858.0","6.0","6878.534776441204","35826824.0","","1.10395597716146","84000006.0","USA","90672.7621981684","","01-10-2021"
"597","Colorado","US","2021-01-11 05:30:40","39.0598","-105.3111","361148","5208","19113.0","336827.0","8.0","6271.306758983222","4770751.0","","1.4420680718154333","84000008.0","USA","82843.71778807016","","01-10-2021"
"598","Connecticut","US","2021-01-11 05:30:40","41.5978","-72.7554","205994","6324","9800.0","189870.0","9.0","5777.767680413946","4619970.0","","3.0699923298736858","84000009.0","USA","129581.99438081704","","01-10-2021"
"599","Delaware","US","2021-01-11 05:30:40","39.3185","-75.5071","65273","1137","18851.0","45450.0","10.0","6703.16421638097","1052875.0","","1.4891302682579322","84000010.0","USA","108124.24776434537","","01-10-2021"
"600","Diamond Princess","US","2021-01-11 05:30:40","","","49","0","","49.0","88888.0","","","","0.0","84088888.0","USA","","","01-10-2021"
"601","District of Columbia","US","2021-01-11 05:30:40","38.8974","-77.0268","31791","817","22153.0","8821.0","11.0","4504.57598948068","957350.0","","2.569909722877544","84000011.0","USA","135650.20991882382","","01-10-2021"
"602","Florida","US","2021-01-11 05:30:40","27.7663","-81.6868","1477010","22912","","1454098.0","12.0","6876.934939654024","16817965.0","","1.55124203627599","84000012.0","USA","78304.17608708031","","01-10-2021"
"603","Georgia","US","2021-01-11 05:30:40","33.0406","-83.6431","757045","11458","","745587.0","13.0","7130.2141772066525","5672290.0","","1.5135163695685196","84000013.0","USA","53424.35730402754","","01-10-2021"
"604","Grand Princess","US","2021-01-11 05:30:40","","","103","3","","100.0","99999.0","","","","2.9126213592233015","84099999.0","USA","","","01-10-2021"
"605","Guam","US","2021-01-11 05:30:40","13.4443","144.7937","7399","124","7146.0","129.0","66.0","4505.294436427183","98519.0","","1.6759021489390458","316.0","GUM","59988.79613223","","01-10-2021"
"606","Hawaii","US","2021-01-11 05:30:40","21.0943","-157.4983","23586","308","11958.0","11320.0","15.0","1665.8285494733987","869572.0","","1.3058594081234631","84000015.0","USA","61416.00370654975","","01-10-2021"
"607","Idaho","US","2021-01-11 05:30:40","44.2405","-114.4788","149667","1534","64785.0","83348.0","16.0","8375.017137037545","561307.0","","1.0249420379910068","84000016.0","USA","31409.433904194862","","01-10-2021"
"608","Illinois","US","2021-01-11 05:30:40","40.3495","-88.9861","1028750","19293","","1009457.0","17.0","8118.406975603585","14103289.0","","1.8753827460510328","84000017.0","USA","111296.46638790118","","01-10-2021"
"609","Indiana","US","2021-01-11 05:30:40","39.8494","-86.2583","563653","10147","364890.0","189778.0","18.0","8372.469760713371","6109153.0","","1.594065852572416","84000018.0","USA","90745.01289990717","","01-10-2021"
"610","Iowa","US","2021-01-11 05:30:40","42.0115","-93.2105","296682","4138","255593.0","36951.0","19.0","9403.341288782816","1198291.0","","1.394759371987515","84000019.0","USA","37979.854646648084","","01-10-2021"
"611","Kansas","US","2021-01-11 05:30:40","38.5266","-96.7265","244583","3141","4838.0","235669.0","20.0","8363.259161216401","1051207.0","","1.2891548463356974","84000020.0","USA","36082.859588770734","","01-10-2021"
"612","Kentucky","US","2021-01-11 05:30:40","37.6681","-84.6701","303624","2901","39006.0","261717.0","21.0","6796.021105394239","3310799.0","","0.9554580665560036","84000021.0","USA","74105.66977484699","","01-10-2021"
"613","Louisiana","US","2021-01-11 05:30:40","31.1695","-91.8678","346829","7873","280373.0","58583.0","22.0","7460.623120749166","4445919.0","","2.2699947236246105","84000022.0","USA","95635.96494058457","","01-10-2021"
"614","Maine","US","2021-01-11 05:30:40","44.6939","-69.3819","29298","432","11735.0","17131.0","23.0","2179.5669135523267","1173612.0","","1.4745033790702438","84000023.0","USA","87308.54954426832","","01-10-2021"
"615","Maryland","US","2021-01-11 05:30:40","39.0639","-76.8021","306674","6272","9427.0","290975.0","24.0","5072.613833348772","6145245.0","","2.045168485101444","84000024.0","USA","101646.87843220284","","01-10-2021"
"616","Massachusetts","US","2021-01-11 05:30:40","42.2302","-71.5301","432791","13151","293522.0","126118.0","25.0","6279.155772583632","11717313.0","","3.0386491401161297","84000025.0","USA","170000.84004315993","","01-10-2021"
"617","Michigan","US","2021-01-11 05:30:40","43.3266","-84.5361","562553","14145","415079.0","133329.0","26.0","5632.933364320727","8515027.0","","2.514429751507858","84000026.0","USA","85262.33028068791","","01-10-2021"
"618","Minnesota","US","2021-01-11 05:30:40","45.6945","-93.9002","436572","5775","414756.0","16041.0","27.0","7741.143393753351","5670387.0","","1.3228058602017536","84000027.0","USA","100545.33700071211","","01-10-2021"
"619","Mississippi","US","2021-01-11 05:30:40","32.7416","-89.6787","239082","5167","182103.0","51812.0","28.0","8033.267151611026","1422660.0","","2.1611831923775107","84000028.0","USA","47802.042169259665","","01-10-2021"
"620","Missouri","US","2021-01-11 05:30:40","38.4561","-92.2884","435999","6150","","428578.0","29.0","7082.950708342321","3819153.0","","1.4108223624430944","84000029.0","USA","62227.255456194354","","01-10-2021"
"621","Montana","US","2021-01-11 05:30:40","46.9219","-110.4544","86324","1056","80237.0","5031.0","30.0","8076.887810190704","842250.0","","1.223298271627821","84000030.0","USA","78804.952946262","","01-10-2021"
"622","Nebraska","US","2021-01-11 05:30:40","41.1254","-98.2681","176026","1760","120729.0","53537.0","31.0","9099.734905976402","1848089.0","","0.9998522945473964","84000031.0","USA","95537.70455870737","","01-10-2021"
"623","Nevada","US","2021-01-11 05:30:40","38.3135","-117.0554","248569","3467","","245102.0","32.0","8070.013336986827","2223317.0","","1.394783742140009","84000032.0","USA","72181.96091366801","","01-10-2021"
"624","New Hampshire","US","2021-01-11 05:30:40","43.4525","-71.5639","52980","869","44277.0","6454.0","33.0","3794.924068423364","1091708.0","","1.684108527131783","84000033.0","USA","80289.70862190568","","01-10-2021"
"625","New Jersey","US","2021-01-11 05:30:40","40.2989","-74.521","584828","19854","59705.0","505269.0","34.0","6584.277075811258","8246511.0","","3.3948442961007337","84000034.0","USA","92843.2177199542","","01-10-2021"
"626","New Mexico","US","2021-01-11 05:30:40","34.8405","-106.2485","156157","2749","77731.0","75677.0","35.0","7447.293031525222","2093575.0","","1.760407794719417","84000035.0","USA","99844.81328711117","","01-10-2021"
"627","New York","US","2021-01-11 05:30:40","42.1657","-74.9481","1135592","39632","109982.0","985978.0","36.0","5837.450531550496","27321002.0","","3.4899858399847834","84000036.0","USA","140442.16377659596","","01-10-2021"
"628","North Carolina","US","2021-01-11 05:30:40","35.6301","-79.8064","623188","7567","487090.0","128531.0","37.0","5941.866979707638","7555356.0","","1.2142403255518401","84000037.0","USA","72037.52372692668","","01-10-2021"
"629","North Dakota","US","2021-01-11 05:30:40","47.5289","-99.784","94716","1360","91465.0","1899.0","38.0","12428.909983702111","1278553.0","","1.4274251446429325","84000038.0","USA","167775.4565901462","","01-10-2021"
"630","Northern Mariana Islands","US","2021-01-11 05:30:40","15.0979","145.6739","125","2","29.0","94.0","69.0","226.67923980850136","17554.0","","1.6","580.0","MNP","31833.019004787468","","01-10-2021"
"631","Ohio","US","2021-01-11 05:30:40","40.3888","-82.7649","777065","15414","634085.0","133353.0","39.0","6647.774422325072","8145652.0","","1.238892499340467","84000039.0","USA","69685.87829687487","","01-10-2021"
"632","Oklahoma","US","2021-01-11 05:30:40","35.5653","-96.9289","331362","2761","285645.0","42956.0","40.0","8374.132638323606","2831278.0","","0.8332277086690689","84000040.0","USA","71551.6489759465","","01-10-2021"
"633","Oregon","US","2021-01-11 05:30:40","44.572","-122.0709","125683","1604","5870.0","118209.0","41.0","2979.868114109533","2786624.0","","1.2762266973258118","84000041.0","USA","66069.17406182509","","01-10-2021"
"634","Pennsylvania","US","2021-01-11 05:30:40","40.5908","-77.2098","723865","17717","520490.0","185658.0","42.0","5654.316684696417","4102279.0","","2.4475558287802284","84000042.0","USA","32044.075338605588","","01-10-2021"
"635","Puerto Rico","US","2021-01-11 05:30:40","18.2208","-66.5901","83119","1630","73760.0","7729.0","72.0","2602.597493685995","389091.0","","1.9610438046656","630.0","PRI","12183.102075527586","","01-10-2021"
"636","Rhode Island","US","2021-01-11 05:30:40","41.6809","-71.5118","97614","2074","5860.0","89838.0","44.0","9214.422656676998","2115967.0","","1.9628332001557156","84000044.0","USA","199739.93756613656","","01-10-2021"
"637","South Carolina","US","2021-01-11 05:30:40","33.8569","-80.945","354525","5811","163716.0","184998.0","45.0","6885.700001981078","3466585.0","","1.639094563147874","84000045.0","USA","67329.14277235053","","01-10-2021"
"638","South Dakota","US","2021-01-11 05:30:40","44.2998","-99.4388","103318","1585","96693.0","5040.0","46.0","11678.850268860657","384161.0","","1.5340986081805688","84000046.0","USA","43424.75462296772","","01-10-2021"
"639","Tennessee","US","2021-01-11 05:30:40","35.7478","-86.6923","653869","7785","565197.0","80887.0","47.0","9574.642555600429","5948059.0","","1.1906054576681262","84000047.0","USA","87097.78078578756","","01-10-2021"
"640","Texas","US","2021-01-11 05:30:40","31.0545","-97.5635","1968189","30479","1558945.0","378765.0","48.0","6787.82272557954","14791044.0","","1.5485809543697278","84000048.0","USA","51010.845299027125","","01-10-2021"
"641","Utah","US","2021-01-11 05:30:40","40.15","-111.8624","305999","1392","249390.0","55217.0","49.0","9544.697715940134","2373998.0","","0.4549034473968869","84000049.0","USA","74049.56646344087","","01-10-2021"
"642","Vermont","US","2021-01-11 05:30:40","44.0459","-72.7107","8967","156","6015.0","2796.0","50.0","1437.0445632855706","759091.0","","1.7397122783539645","84000050.0","USA","121651.343212781","","01-10-2021"
"643","Virgin Islands","US","2021-01-11 05:30:40","18.3358","-64.8963","2143","24","1984.0","135.0","78.0","1997.7999030465746","37469.0","","1.1199253383107792","850.0","VIR","34930.26811351009","","01-10-2021"
"644","Virginia","US","2021-01-11 05:30:40","37.7693","-78.17","398856","5383","32998.0","360475.0","51.0","4672.8968677827315","4588152.0","","1.3496098842690094","84000051.0","USA","53753.638179470974","","01-10-2021"
"645","Washington","US","2021-01-11 05:30:40","47.4009","-121.4905","271595","3698","","267897.0","53.0","3566.6292356307567","4034774.0","","1.3615861853126898","84000053.0","USA","52985.30130364274","","01-10-2021"
"646","West Virginia","US","2021-01-11 05:30:40","38.4912","-80.9545","101212","1582","70382.0","29248.0","54.0","5647.527797663918","1662374.0","","1.5630557641386398","84000054.0","USA","92758.79712992292","","01-10-2021"
"647","Wisconsin","US","2021-01-11 05:30:40","44.2685","-89.6165","550260","5570","472862.0","71828.0","55.0","9450.686774637548","5608884.0","","1.0122487551339368","84000055.0","USA","96332.28989800485","","01-10-2021"
"648","Wyoming","US","2021-01-11 05:30:40","42.756","-107.3025","46832","489","44556.0","1787.0","56.0","8091.796412669178","528137.0","","1.0441578407926204","84000056.0","USA","91253.35415950336","","01-10-2021"
"649","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","Total_Test_Results","People_Hospitalized","Case_Fatality_Ratio","UID","ISO3","Testing_Rate","Hospitalization_Rate","01-11-2021"
"650","Alabama","US","2021-01-12 05:30:28","32.3182","-86.9023","404000","5347","211684.0","186969.0","1.0","8239.542256716808","1972863.0","","1.3235148514851485","84000001.0","USA","40236.356572309625","","01-11-2021"
"651","Alaska","US","2021-01-12 05:30:28","61.3707","-152.4044","50394","224","7165.0","43005.0","2.0","6888.708145090185","1357708.0","","0.44449736079692026","84000002.0","USA","185594.59773493087","","01-11-2021"
"652","American Samoa","US","2021-01-12 05:30:28","-14.271","-170.132","0","0","","0.0","60.0","0.0","2140.0","","","16.0","ASM","3846.084721698028","","01-11-2021"
"653","Arizona","US","2021-01-12 05:30:28","33.7298","-111.4312","627541","10147","85912.0","531482.0","4.0","8621.588117796035","3097409.0","","1.6169461437579378","84000004.0","USA","42554.3265385919","","01-11-2021"
"654","Arkansas","US","2021-01-12 05:30:28","34.9697","-92.3731","256344","4081","226700.0","25563.0","5.0","8494.38863491466","2202491.0","","1.5920013731548233","84000005.0","USA","72983.23549176818","","01-11-2021"
"655","California","US","2021-01-12 09:30:29","36.1162","-119.6816","2784716","30480","","2727541.0","6.0","6980.171680039364","36170528.0","","1.1051402436747217","84000006.0","USA","91542.62973257668","","01-11-2021"
"656","Colorado","US","2021-01-12 05:30:28","39.0598","-105.3111","362825","5213","19222.0","338390.0","8.0","6300.427732752464","4798163.0","","1.4367808171983738","84000008.0","USA","83319.72502299116","","01-11-2021"
"657","Connecticut","US","2021-01-12 05:30:28","41.5978","-72.7554","213358","6416","9800.0","197142.0","9.0","5984.314867218263","4736445.0","","3.007152298015542","84000009.0","USA","132848.9123035537","","01-11-2021"
"658","Delaware","US","2021-01-12 05:30:28","39.3185","-75.5071","65827","1146","18851.0","45990.0","10.0","6760.0568515574605","1063800.0","","1.4978656174518057","84000010.0","USA","109246.18285334023","","01-11-2021"
"659","Diamond Princess","US","2021-01-12 05:30:28","","","49","0","","49.0","88888.0","","","","0.0","84088888.0","USA","","","01-11-2021"
"660","District of Columbia","US","2021-01-12 05:30:28","38.8974","-77.0268","31993","821","22153.0","9019.0","11.0","4533.198063334132","960916.0","","2.5661863532647766","84000011.0","USA","136155.4887077417","","01-11-2021"
"661","Florida","US","2021-01-12 05:30:28","27.7663","-81.6868","1488586","23071","","1465515.0","12.0","6930.832610530617","16914911.0","","1.5498600685482733","84000012.0","USA","78755.55511271974","","01-11-2021"
"662","Georgia","US","2021-01-12 05:30:28","33.0406","-83.6431","764499","11475","","753024.0","13.0","7200.419536831112","5708060.0","","1.5009829967076478","84000013.0","USA","53761.25638019697","","01-11-2021"
"663","Grand Princess","US","2021-01-12 05:30:28","","","103","3","","100.0","99999.0","","","","2.9126213592233015","84099999.0","USA","","","01-11-2021"
"664","Guam","US","2021-01-12 05:30:28","13.4443","144.7937","7423","124","7164.0","135.0","66.0","4519.908176996754","99160.0","","1.6704836319547354","316.0","GUM","60379.104786608936","","01-11-2021"
"665","Hawaii","US","2021-01-12 05:30:28","21.0943","-157.4983","23748","308","11958.0","11482.0","15.0","1677.2702617185737","875020.0","","1.2969513222166078","84000015.0","USA","61800.78425168378","","01-11-2021"
"666","Idaho","US","2021-01-12 05:30:28","44.2405","-114.4788","150239","1544","66012.0","82683.0","16.0","8407.024926345712","562715.0","","1.0276958712451494","84000016.0","USA","31488.222308645738","","01-11-2021"
"667","Illinois","US","2021-01-12 05:30:28","40.3495","-88.9861","1033526","19363","","1014163.0","17.0","8156.096901936982","14169986.0","","1.8734893945580469","84000017.0","USA","111822.80747179117","","01-11-2021"
"668","Indiana","US","2021-01-12 05:30:28","39.8494","-86.2583","567338","10217","367734.0","190588.0","18.0","8427.206542152","6140884.0","","1.5891761172352283","84000018.0","USA","91216.34337801547","","01-11-2021"
"669","Iowa","US","2021-01-12 05:30:28","42.0115","-93.2105","297774","4139","256151.0","37484.0","19.0","9437.952248286092","1199759.0","","1.3899803206458592","84000019.0","USA","38026.38293286679","","01-11-2021"
"670","Kansas","US","2021-01-12 05:30:28","38.5266","-96.7265","249712","3248","4896.0","240502.0","20.0","8534.81636376992","1066516.0","","1.306274784231397","84000020.0","USA","36608.343625163645","","01-11-2021"
"671","Kentucky","US","2021-01-12 05:30:28","37.6681","-84.6701","305706","2922","39020.0","263764.0","21.0","6842.622546457629","3335482.0","","0.9558202979333084","84000021.0","USA","74658.14977953848","","01-11-2021"
"672","Louisiana","US","2021-01-12 05:30:28","31.1695","-91.8678","348234","7918","280373.0","59943.0","22.0","7490.846012965943","4458747.0","","2.2737584497780228","84000022.0","USA","95911.90747535812","","01-11-2021"
"673","Maine","US","2021-01-12 05:30:28","44.6939","-69.3819","29611","438","11752.0","17421.0","23.0","2202.8519310942024","1196269.0","","1.4791800344466584","84000023.0","USA","88994.07236358551","","01-11-2021"
"674","Maryland","US","2021-01-12 05:30:28","39.0639","-76.8021","309686","6301","9431.0","293954.0","24.0","5122.434531764829","6188765.0","","2.0346415401406586","84000024.0","USA","102366.73128581069","","01-11-2021"
"675","Massachusetts","US","2021-01-12 05:30:28","42.2302","-71.5301","437042","13206","293522.0","126130.0","25.0","6279.329874792946","11774727.0","","3.0385648897997477","84000025.0","USA","170833.83206362042","","01-11-2021"
"676","Michigan","US","2021-01-12 05:30:28","43.3266","-84.5361","567682","14192","415079.0","138411.0","26.0","5684.290863481874","8588813.0","","2.499991192252","84000026.0","USA","86001.1613263312","","01-11-2021"
"677","Minnesota","US","2021-01-12 05:30:28","45.6945","-93.9002","437552","5779","417005.0","14768.0","27.0","7758.52041409794","5687368.0","","1.3207573042746918","84000027.0","USA","100846.43820731566","","01-11-2021"
"678","Mississippi","US","2021-01-12 05:30:28","32.7416","-89.6787","240309","5186","198888.0","36235.0","28.0","8074.494926161292","1463235.0","","2.158054837729756","84000028.0","USA","49165.38116875197","","01-11-2021"
"679","Missouri","US","2021-01-12 05:30:28","38.4561","-92.2884","437859","6154","","430324.0","29.0","7111.464281128838","3830281.0","","1.4060821012644886","84000029.0","USA","62408.56919217628","","01-11-2021"
"680","Montana","US","2021-01-12 05:30:28","46.9219","-110.4544","86653","1057","80674.0","4922.0","30.0","8107.670629447835","845439.0","","1.219807738912675","84000030.0","USA","79103.33109401577","","01-11-2021"
"681","Nebraska","US","2021-01-12 05:30:28","41.1254","-98.2681","176670","1772","121710.0","53188.0","31.0","9133.026745133397","1852051.0","","1.0029999433972945","84000031.0","USA","95742.52174308622","","01-11-2021"
"682","Nevada","US","2021-01-12 05:30:28","38.3135","-117.0554","250249","3500","","246749.0","32.0","8124.556028980352","2235084.0","","1.3986069874405092","84000032.0","USA","72563.98701883931","","01-11-2021"
"683","New Hampshire","US","2021-01-12 05:30:28","43.4525","-71.5639","53913","869","45320.0","6118.0","33.0","3846.92041176397","1098825.0","","1.6613455178083238","84000033.0","USA","80813.12867219579","","01-11-2021"
"684","New Jersey","US","2021-01-12 05:30:28","40.2989","-74.521","590162","19854","60052.0","510256.0","34.0","6644.3298330704465","8251845.0","","3.3641610269722557","84000034.0","USA","92903.2704772134","","01-11-2021"
"685","New Mexico","US","2021-01-12 05:30:28","34.8405","-106.2485","157087","2764","78826.0","75497.0","35.0","7491.645718368069","2101155.0","","1.7595345254540478","84000035.0","USA","100206.31153041092","","01-11-2021"
"686","New York","US","2021-01-12 05:30:28","42.1657","-74.9481","1149771","39834","110600.0","999337.0","36.0","5910.33693008699","27524906.0","","3.4645159775294383","84000036.0","USA","141490.32148921222","","01-11-2021"
"687","North Carolina","US","2021-01-12 05:30:28","35.6301","-79.8064","629124","7578","521475.0","100071.0","37.0","5998.464543190157","7668690.0","","1.2045320159459818","84000037.0","USA","73118.12147957625","","01-11-2021"
"688","North Dakota","US","2021-01-12 05:30:28","47.5289","-99.784","94830","1360","91597.0","1881.0","38.0","12443.869396453309","1280626.0","","1.4257091637667405","84000038.0","USA","168047.48170096395","","01-11-2021"
"689","Northern Mariana Islands","US","2021-01-12 05:30:28","15.0979","145.6739","128","2","29.0","97.0","69.0","232.11954156390541","17554.0","","1.5625","580.0","MNP","31833.019004787468","","01-11-2021"
"690","Ohio","US","2021-01-12 05:30:28","40.3888","-82.7649","784957","15479","639080.0","136175.0","39.0","6715.290313197766","8186142.0","","1.2359912708594227","84000039.0","USA","70032.2693791652","","01-11-2021"
"691","Oklahoma","US","2021-01-12 05:30:28","35.5653","-96.9289","335247","2775","289309.0","43163.0","40.0","8472.313797599225","2835163.0","","0.8277478993100609","84000040.0","USA","71649.83013522213","","01-11-2021"
"692","Oregon","US","2021-01-12 05:30:28","44.572","-122.0709","126607","1613","5870.0","119124.0","41.0","3001.7755967240255","2839839.0","","1.2740211836628306","84000041.0","USA","67330.86961088375","","01-11-2021"
"693","Pennsylvania","US","2021-01-12 05:30:28","40.5908","-77.2098","730773","17802","537353.0","175618.0","42.0","5708.277049761565","4118400.0","","2.4360505930022045","84000042.0","USA","32170.001083425395","","01-11-2021"
"694","Puerto Rico","US","2021-01-12 05:30:28","18.2208","-66.5901","83468","1642","73760.0","8066.0","72.0","2613.5252782514544","389440.0","","1.967220970911008","630.0","PRI","12194.029860093044","","01-11-2021"
"695","Rhode Island","US","2021-01-12 05:30:28","41.6809","-71.5118","100607","2095","6000.0","92660.0","44.0","9496.951464137344","2166820.0","","1.9352530142037834","84000044.0","USA","204540.28419018642","","01-11-2021"
"696","South Carolina","US","2021-01-12 05:30:28","33.8569","-80.945","357654","5826","165305.0","186523.0","45.0","6946.472458948","3488615.0","","1.6289486486939893","84000045.0","USA","67757.01660647689","","01-11-2021"
"697","South Dakota","US","2021-01-12 05:30:28","44.2998","-99.4388","103499","1585","96812.0","5102.0","46.0","11699.310129665779","384712.0","","1.5314157624711349","84000046.0","USA","43487.038508623096","","01-11-2021"
"698","Tennessee","US","2021-01-12 05:30:28","35.7478","-86.6923","657396","7865","568910.0","80621.0","47.0","9626.288625827956","5969654.0","","1.1963869570243808","84000047.0","USA","87413.997651839","","01-11-2021"
"699","Texas","US","2021-01-12 05:30:28","31.0545","-97.5635","1990204","30585","1568710.0","390909.0","48.0","6863.747302591013","14939305.0","","1.5367771344043124","84000048.0","USA","51522.1627513232","","01-11-2021"
"700","Utah","US","2021-01-12 05:30:28","40.15","-111.8624","307483","1396","251170.0","54917.0","49.0","9590.986531950824","2381850.0","","0.4540088395130788","84000049.0","USA","74294.48545489367","","01-11-2021"
"701","Vermont","US","2021-01-12 05:30:28","44.0459","-72.7107","9078","156","6027.0","2895.0","50.0","1454.8333384082089","761740.0","","1.718440185062789","84000050.0","USA","122075.86992719426","","01-11-2021"
"702","Virgin Islands","US","2021-01-12 05:30:28","18.3358","-64.8963","2143","24","1984.0","135.0","78.0","1997.7999030465746","37469.0","","1.1199253383107792","850.0","VIR","34930.26811351009","","01-11-2021"
"703","Virginia","US","2021-01-12 05:30:28","37.7693","-78.17","403386","5393","33142.0","364851.0","51.0","4725.969211714016","4621140.0","","1.3369328633120634","84000051.0","USA","54140.11731448316","","01-11-2021"
"704","Washington","US","2021-01-12 05:30:28","47.4009","-121.4905","276686","3699","","272987.0","53.0","3633.485066697589","4034774.0","","1.3368945302617408","84000053.0","USA","52985.30130364274","","01-11-2021"
"705","West Virginia","US","2021-01-12 05:30:28","38.4912","-80.9545","102282","1594","71431.0","29257.0","54.0","5707.232721422964","1674403.0","","1.5584364795369663","84000054.0","USA","93430.00323076175","","01-11-2021"
"706","Wisconsin","US","2021-01-12 05:30:28","44.2685","-89.6165","551942","5575","474830.0","71537.0","55.0","9479.575036831677","5626886.0","","1.010069898648771","84000055.0","USA","96641.47330824187","","01-11-2021"
"707","Wyoming","US","2021-01-12 05:30:28","42.756","-107.3025","47395","489","44982.0","1924.0","56.0","8189.073517647243","534614.0","","1.0317544044730458","84000056.0","USA","92372.47282547658","","01-11-2021"
"708","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","Total_Test_Results","People_Hospitalized","Case_Fatality_Ratio","UID","ISO3","Testing_Rate","Hospitalization_Rate","01-12-2021"
"709","Alabama","US","2021-01-13 05:30:34","32.3182","-86.9023","407848","5573","211684.0","190591.0","1.0","8318.021857221378","1981019.0","","1.3664404385947706","84000001.0","USA","40402.69743034375","","01-12-2021"
"710","Alaska","US","2021-01-13 05:30:34","61.3707","-152.4044","50522","225","7165.0","43132.0","2.0","6906.205359889002","1357708.0","","0.4453505403586556","84000002.0","USA","185594.59773493087","","01-12-2021"
"711","American Samoa","US","2021-01-13 05:30:34","-14.271","-170.132","0","0","","0.0","60.0","0.0","2140.0","","","16.0","ASM","3846.084721698028","","01-12-2021"
"712","Arizona","US","2021-01-13 05:30:34","33.7298","-111.4312","636100","10482","86757.0","538861.0","4.0","8739.177522632079","3115744.0","","1.6478541109888385","84000004.0","USA","42806.225327897766","","01-12-2021"
"713","Arkansas","US","2021-01-13 05:30:34","34.9697","-92.3731","259553","4121","229700.0","25732.0","5.0","8600.724235238604","2208736.0","","1.58772967370826","84000005.0","USA","73190.17404708854","","01-12-2021"
"714","California","US","2021-01-13 09:30:45","36.1162","-119.6816","2832085","31157","","2773506.0","6.0","7098.216164653657","36508384.0","","1.110899954825232","84000006.0","USA","92397.69678360036","","01-12-2021"
"715","Colorado","US","2021-01-13 05:30:34","39.0598","-105.3111","364336","5242","19328.0","339766.0","8.0","6326.666129511754","4821636.0","","1.4387817838478767","84000008.0","USA","83727.33183115184","","01-12-2021"
"716","Connecticut","US","2021-01-13 05:30:34","41.5978","-72.7554","217047","6449","9800.0","200798.0","9.0","6087.784798250464","4771175.0","","2.9712458591917876","84000009.0","USA","133823.02743089126","","01-12-2021"
"717","Delaware","US","2021-01-13 05:30:34","39.3185","-75.5071","66446","1157","18851.0","46604.0","10.0","6823.6246154098935","1073700.0","","1.4914366553291394","84000010.0","USA","110262.85629782986","","01-12-2021"
"718","Diamond Princess","US","2021-01-13 05:30:34","","","49","0","","49.0","88888.0","","","","0.0","84088888.0","USA","","","01-12-2021"
