"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","Date"
"1836","California","US","2020-05-12 03:32:31","36.1162","-119.6816","70039","2779","","66550.0","6","176.82081134199572","991897","","4.008423603398289","84000006","USA","2529.793193435525","","05-11-2020"
"1837","Colorado","US","2020-05-12 03:32:31","39.0598","-105.3111","19879","987","3076","15816.0","8","350.79682354085094","108790","3689","4.965038482821067","84000008","USA","1919.7739540725977","18.557271492529804","05-11-2020"
"1838","Connecticut","US","2020-05-12 03:32:31","41.5978","-72.7554","33765","3008","5413","25344.0","9","947.0485826246246","132508","9389","8.908633200059233","84000009","USA","3716.615240231712","27.806900636754037","05-11-2020"
"1839","Delaware","US","2020-05-12 03:32:31","39.3185","-75.5071","6565","328","2619","3721.0","10","674.1879962701435","31928","","3.427265803503427","84000010","USA","3278.8232056227175","","05-11-2020"
"1840","Diamond Princess","US","2020-05-12 03:32:31","","","49","0","","49.0","88888","","","","0.0","84088888","USA","","","05-11-2020"
"1841","District of Columbia","US","2020-05-12 03:32:31","38.8974","-77.0268","6389","328","881","5180.0","11","905.2793556916127","30261","","5.1338237595867895","84000011","USA","4287.785034056017","","05-11-2020"
"1842","Florida","US","2020-05-12 03:32:31","27.7663","-81.6868","40982","1735","","39247.0","12","193.0144608721134","561057","7458","4.233565955785466","84000012","USA","2642.431174016039","18.198233370748135","05-11-2020"
"1843","Georgia","US","2020-05-12 03:32:31","33.0406","-83.6431","34002","1444","","32558.0","13","335.3455182179052","251288","6015","4.2468090112346335","84000013","USA","2478.3337621887226","17.690135874360333","05-11-2020"
"1844","Grand Princess","US","2020-05-12 03:32:31","","","103","3","","100.0","99999","","","","2.912621359223301","84099999","USA","","","05-11-2020"
"1845","Guam","US","2020-05-12 03:32:31","13.4443","144.7937","151","5","124","22.0","66","91.9447844168813","3989","","3.3112582781456954","316","GUM","2428.9254638340367","","05-11-2020"
"1846","Hawaii","US","2020-05-12 03:32:31","21.0943","-157.4983","634","17","561","56.0","15","44.780779016037734","37683","81","2.6813880126182967","84000015","USA","2661.6310657119084","12.77602523659306","05-11-2020"
"1847","Idaho","US","2020-05-12 03:32:31","44.2405","-114.4788","2260","70","1473","717.0","16","140.32935174669683","32142","207","3.0973451327433628","84000016","USA","1995.7814264789067","9.15929203539823","05-11-2020"
"1848","Illinois","US","2020-05-12 03:32:31","40.3495","-88.9861","79007","3459","","75548.0","17","673.2220184083493","442425","","4.378093080359968","84000017","USA","3769.92230428081","","05-11-2020"
"1849","Indiana","US","2020-05-12 03:32:31","39.8494","-86.2583","24627","1571","","23087.0","18","376.32980714835617","146688","4389","6.253299224428472","84000018","USA","2241.5668474023664","17.82190278962115","05-11-2020"
"1850","Iowa","US","2020-05-12 03:32:31","42.0115","-93.2105","12373","271","5249","6853.0","19","472.1234259531662","77792","","2.1902529701769984","84000019","USA","2968.3525055967593","","05-11-2020"
"1851","Kansas","US","2020-05-12 03:32:31","38.5266","-96.7265","7159","180","376","6603.0","20","293.5835648975923","54109","660","2.514317642128789","84000020","USA","2218.9569930219054","9.21916468780556","05-11-2020"
"1852","Kentucky","US","2020-05-12 03:32:31","37.6681","-84.6701","6677","311","2308","4058.0","21","195.0455451942174","86923","1757","4.657780440317508","84000021","USA","2539.1558970970436","26.31421296989666","05-11-2020"
"1853","Louisiana","US","2020-05-12 03:32:31","31.1695","-91.8678","31815","2308","22608","6899.0","22","692.041748291267","220830","","7.254439729687254","84000022","USA","4803.507127932123","","05-11-2020"
"1854","Maine","US","2020-05-12 03:32:31","44.6939","-69.3819","1462","65","872","525.0","23","124.53087973996726","23554","200","4.4459644322845415","84000023","USA","2006.2929831704437","13.679890560875513","05-11-2020"
"1855","Maryland","US","2020-05-12 03:32:31","39.0639","-76.8021","33373","1683","2298","29392.0","24","561.5197527987233","164780","6183","5.042998831390645","84000024","USA","2772.5174502194477","18.526952926018037","05-11-2020"
"1856","Massachusetts","US","2020-05-12 03:32:31","42.2302","-71.5301","78462","5108","","73354.0","25","1143.132376774753","394728","7732","6.510157783385588","84000025","USA","5750.890326776589","9.854451836557825","05-11-2020"
"1857","Michigan","US","2020-05-12 03:32:31","43.3266","-84.5361","47552","4584","22686","20282.0","26","596.8426531634028","298948","","9.639973082099596","84000026","USA","3752.206373609795","","05-11-2020"
"1858","Minnesota","US","2020-05-12 03:32:31","45.6945","-93.9002","11799","591","7536","3672.0","27","238.5348996026642","115781","1716","5.008899059242308","84000027","USA","2340.690669624211","14.543605390287313","05-11-2020"
"1859","Mississippi","US","2020-05-12 03:32:31","32.7416","-89.6787","9674","435","6268","2971.0","28","334.13857252299147","95885","1546","4.496588794707463","84000028","USA","3311.8541478568363","15.980979946247674","05-11-2020"
"1860","Missouri","US","2020-05-12 03:32:31","38.4561","-92.2884","10172","514","","9643.0","29","173.34373702951262","115620","","5.060549374815398","84000029","USA","1973.2207221967365","","05-11-2020"
"1861","Montana","US","2020-05-12 03:32:31","46.9219","-110.4544","459","16","423","20.0","30","53.00310512744418","22572","62","3.485838779956427","84000030","USA","2606.5056403849017","13.507625272331154","05-11-2020"
"1862","Nebraska","US","2020-05-12 03:32:31","41.1254","-98.2681","8407","98","","8309.0","31","551.1803796306494","46239","","1.1656952539550374","84000031","USA","3031.5248690069707","","05-11-2020"
"1863","Nevada","US","2020-05-12 03:32:31","38.3135","-117.0554","6152","312","183","5657.0","32","203.93165107400577","60084","","5.071521456436931","84000032","USA","1991.7147794425493","","05-11-2020"
"1864","New Hampshire","US","2020-05-12 03:32:31","43.4525","-71.5639","3160","133","1229","1798.0","33","237.92529145848204","34883","318","4.208860759493671","84000033","USA","2626.4392221348826","10.063291139240507","05-11-2020"
"1865","New Jersey","US","2020-05-12 03:32:31","40.2989","-74.521","140289","9340","15642","115224.0","34","1578.5071024150575","425933","","6.661626463917378","84000034","USA","4795.360153295527","","05-11-2020"
"1866","New Mexico","US","2020-05-12 03:32:31","34.8405","-106.2485","5069","208","1285","3576.0","35","303.98199016151403","102498","789","4.10337344643914","84000035","USA","6146.684953161347","15.565200236733084","05-11-2020"
"1867","New York","US","2020-05-12 03:32:31","42.1657","-74.9481","337055","26988","58363","251704.0","36","1999.0184463874527","1204651","73143","8.007001824628029","84000036","USA","7144.589371049507","21.700612659654954","05-11-2020"
"1868","North Carolina","US","2020-05-12 03:32:31","35.6301","-79.8064","15274","575","9115","5584.0","37","154.0047641253797","195865","","3.7645672384444153","84000037","USA","1974.86860844687","","05-11-2020"
"1869","North Dakota","US","2020-05-12 03:32:31","47.5289","-99.78399999999999","1518","36","846","636.0","38","250.3223848896306","47014","115","2.3715415019762847","84000038","USA","7752.738210277399","7.575757575757576","05-11-2020"
"1870","Northern Mariana Islands","US","2020-05-12 03:32:31","15.0979","145.6739","19","2","12","5.0","69","34.45524445089221","2695","","10.526315789473685","580","MNP","4887.20441027129","","05-11-2020"
